n	A	R	N	D	C	Q	E	G	H	I	L	K	M	F	P	S	T	W	Y	V	X
0	4.0	-1.0	-2.0	-2.0	0.0	-1.0	-1.0	0.0	-2.0	-1.0	-1.0	-1.0	-1.0	-2.0	-1.0	1.0	0.0	-3.0	-2.0	0.0	0.0
1	-1.0	5.0	0.0	-2.0	-3.0	1.0	0.0	-2.0	0.0	-3.0	-2.0	2.0	-1.0	-3.0	-2.0	-1.0	-1.0	-3.0	-2.0	-3.0	0.0
2	-2.0	0.0	6.0	1.0	-3.0	0.0	0.0	0.0	1.0	-3.0	-3.0	0.0	-2.0	-3.0	-2.0	1.0	0.0	-4.0	-2.0	-3.0	0.0
3	-2.0	-2.0	1.0	6.0	-3.0	0.0	2.0	-1.0	-1.0	-3.0	-4.0	-1.0	-3.0	-3.0	-1.0	0.0	-1.0	-4.0	-3.0	-3.0	0.0
4	0.0	-3.0	-3.0	-3.0	9.0	-3.0	-4.0	-3.0	-3.0	-1.0	-1.0	-3.0	-1.0	-2.0	-3.0	-1.0	-1.0	-2.0	-2.0	-1.0	0.0
5	-1.0	1.0	0.0	0.0	-3.0	5.0	2.0	-2.0	0.0	-3.0	-2.0	1.0	0.0	-3.0	-1.0	0.0	-1.0	-2.0	-1.0	-2.0	0.0
6	-1.0	0.0	0.0	2.0	-4.0	2.0	5.0	-2.0	0.0	-3.0	-3.0	1.0	-2.0	-3.0	-1.0	0.0	-1.0	-3.0	-2.0	-2.0	0.0
7	0.0	-2.0	0.0	-1.0	-3.0	-2.0	-2.0	6.0	-2.0	-4.0	-4.0	-2.0	-3.0	-3.0	-2.0	0.0	-2.0	-2.0	-3.0	-3.0	0.0
8	-2.0	0.0	1.0	-1.0	-3.0	0.0	0.0	-2.0	8.0	-3.0	-3.0	-1.0	-2.0	-1.0	-2.0	-1.0	-2.0	-2.0	2.0	-3.0	0.0
9	-1.0	-3.0	-3.0	-3.0	-1.0	-3.0	-3.0	-4.0	-3.0	4.0	2.0	-3.0	1.0	0.0	-3.0	-2.0	-1.0	-3.0	-1.0	3.0	0.0
10	-1.0	-2.0	-3.0	-4.0	-1.0	-2.0	-3.0	-4.0	-3.0	2.0	4.0	-2.0	2.0	0.0	-3.0	-2.0	-1.0	-2.0	-1.0	1.0	0.0
11	-1.0	2.0	0.0	-1.0	-3.0	1.0	1.0	-2.0	-1.0	-3.0	-2.0	5.0	-1.0	-3.0	-1.0	0.0	-1.0	-3.0	-2.0	-2.0	0.0
12	-1.0	-1.0	-2.0	-3.0	-1.0	0.0	-2.0	-3.0	-2.0	1.0	2.0	-1.0	5.0	0.0	-2.0	-1.0	-1.0	-1.0	-1.0	1.0	0.0
13	-2.0	-3.0	-3.0	-3.0	-2.0	-3.0	-3.0	-3.0	-1.0	0.0	0.0	-3.0	0.0	6.0	-4.0	-2.0	-2.0	1.0	3.0	-1.0	0.0
14	-1.0	-2.0	-2.0	-1.0	-3.0	-1.0	-1.0	-2.0	-2.0	-3.0	-3.0	-1.0	-2.0	-4.0	7.0	-1.0	-1.0	-4.0	-3.0	-2.0	0.0
15	1.0	-1.0	1.0	0.0	-1.0	0.0	0.0	0.0	-1.0	-2.0	-2.0	0.0	-1.0	-2.0	-1.0	4.0	1.0	-3.0	-2.0	-2.0	0.0
16	0.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-2.0	-2.0	-1.0	-1.0	-1.0	-1.0	-2.0	-1.0	1.0	5.0	-2.0	-2.0	0.0	0.0
17	-3.0	-3.0	-4.0	-4.0	-2.0	-2.0	-3.0	-2.0	-2.0	-3.0	-2.0	-3.0	-1.0	1.0	-4.0	-3.0	-2.0	11.0	2.0	-3.0	0.0
18	-2.0	-2.0	-2.0	-3.0	-2.0	-1.0	-2.0	-3.0	2.0	-1.0	-1.0	-2.0	-1.0	3.0	-3.0	-2.0	-2.0	2.0	7.0	-1.0	0.0
19	0.0	-3.0	-3.0	-3.0	-1.0	-2.0	-2.0	-3.0	-3.0	3.0	1.0	-2.0	1.0	-1.0	-2.0	-2.0	0.0	-3.0	-1.0	4.0	0.0
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
