with cuda device
with update rate: 0.1
step: 20; accuracy: 0.1039; test_accuracy: 0.1473, loss: 35.5872; beta: 7.4614, amino: 35.5798
step: 40; accuracy: 0.1658; test_accuracy: 0.1917, loss: 33.1657; beta: 35.1050, amino: 33.1306
step: 60; accuracy: 0.2215; test_accuracy: 0.2591, loss: 30.7810; beta: 55.0946, amino: 30.7259
step: 80; accuracy: 0.2694; test_accuracy: 0.2844, loss: 28.6340; beta: 64.7404, amino: 28.5693
step: 100; accuracy: 0.2932; test_accuracy: 0.2981, loss: 27.3406; beta: 68.0639, amino: 27.2726
step: 120; accuracy: 0.3153; test_accuracy: 0.3245, loss: 26.1996; beta: 70.0050, amino: 26.1296
step: 140; accuracy: 0.3332; test_accuracy: 0.3403, loss: 25.1935; beta: 70.4737, amino: 25.1230
step: 160; accuracy: 0.3353; test_accuracy: 0.3489, loss: 24.8304; beta: 69.3859, amino: 24.7610
step: 180; accuracy: 0.3476; test_accuracy: 0.3584, loss: 24.4746; beta: 68.6001, amino: 24.4060
step: 200; accuracy: 0.3597; test_accuracy: 0.3539, loss: 23.8747; beta: 68.3556, amino: 23.8064
step: 220; accuracy: 0.3660; test_accuracy: 0.3536, loss: 23.3720; beta: 66.9293, amino: 23.3051
step: 240; accuracy: 0.3729; test_accuracy: 0.3810, loss: 22.8775; beta: 68.7598, amino: 22.8087
step: 260; accuracy: 0.3803; test_accuracy: 0.3858, loss: 22.6511; beta: 68.0508, amino: 22.5830
step: 280; accuracy: 0.3871; test_accuracy: 0.3933, loss: 22.1374; beta: 67.3715, amino: 22.0700
step: 300; accuracy: 0.3990; test_accuracy: 0.3879, loss: 21.6723; beta: 67.4524, amino: 21.6049
step: 320; accuracy: 0.3856; test_accuracy: 0.3942, loss: 22.5496; beta: 66.9159, amino: 22.4827
step: 340; accuracy: 0.4019; test_accuracy: 0.4079, loss: 21.5834; beta: 65.2567, amino: 21.5182
step: 360; accuracy: 0.4092; test_accuracy: 0.4017, loss: 21.1934; beta: 67.1563, amino: 21.1263
step: 380; accuracy: 0.4117; test_accuracy: 0.4169, loss: 21.1378; beta: 68.3331, amino: 21.0695
step: 400; accuracy: 0.4107; test_accuracy: 0.3884, loss: 21.1226; beta: 66.6297, amino: 21.0560
step: 420; accuracy: 0.4148; test_accuracy: 0.4137, loss: 21.2011; beta: 67.1355, amino: 21.1340
step: 440; accuracy: 0.4107; test_accuracy: 0.4106, loss: 21.4256; beta: 65.5561, amino: 21.3601
step: 460; accuracy: 0.4319; test_accuracy: 0.4126, loss: 20.1530; beta: 65.5356, amino: 20.0875
step: 480; accuracy: 0.4322; test_accuracy: 0.4358, loss: 20.1177; beta: 65.8910, amino: 20.0518
step: 500; accuracy: 0.4306; test_accuracy: 0.4308, loss: 20.2815; beta: 65.5347, amino: 20.2160
step: 520; accuracy: 0.4257; test_accuracy: 0.4142, loss: 20.8915; beta: 65.8093, amino: 20.8257
step: 540; accuracy: 0.4196; test_accuracy: 0.4250, loss: 20.8191; beta: 65.6937, amino: 20.7534
step: 560; accuracy: 0.4425; test_accuracy: 0.4500, loss: 19.8668; beta: 65.8999, amino: 19.8009
step: 580; accuracy: 0.4374; test_accuracy: 0.4389, loss: 19.9697; beta: 64.8737, amino: 19.9048
step: 600; accuracy: 0.4352; test_accuracy: 0.4478, loss: 20.0229; beta: 63.9802, amino: 19.9589
step: 620; accuracy: 0.4510; test_accuracy: 0.4555, loss: 19.3834; beta: 64.8243, amino: 19.3186
step: 640; accuracy: 0.4503; test_accuracy: 0.4242, loss: 19.6323; beta: 64.6412, amino: 19.5677
step: 660; accuracy: 0.4562; test_accuracy: 0.4629, loss: 19.1882; beta: 64.9349, amino: 19.1233
step: 680; accuracy: 0.4705; test_accuracy: 0.4743, loss: 18.5549; beta: 64.3731, amino: 18.4906
step: 700; accuracy: 0.4470; test_accuracy: 0.4522, loss: 20.1943; beta: 65.4526, amino: 20.1288
step: 720; accuracy: 0.4584; test_accuracy: 0.4857, loss: 19.0803; beta: 64.4152, amino: 19.0159
step: 740; accuracy: 0.4587; test_accuracy: 0.4288, loss: 19.1443; beta: 64.5192, amino: 19.0798
step: 760; accuracy: 0.4475; test_accuracy: 0.4680, loss: 19.8150; beta: 64.5297, amino: 19.7505
step: 780; accuracy: 0.4539; test_accuracy: 0.4454, loss: 19.2597; beta: 63.5216, amino: 19.1962
step: 800; accuracy: 0.4546; test_accuracy: 0.4585, loss: 19.1697; beta: 63.2641, amino: 19.1064
step: 820; accuracy: 0.4684; test_accuracy: 0.4815, loss: 18.6038; beta: 62.9032, amino: 18.5409
step: 840; accuracy: 0.4740; test_accuracy: 0.4902, loss: 18.3559; beta: 63.4672, amino: 18.2925
step: 860; accuracy: 0.4708; test_accuracy: 0.4453, loss: 18.8612; beta: 63.2189, amino: 18.7980
step: 880; accuracy: 0.4605; test_accuracy: 0.4623, loss: 19.3342; beta: 63.5610, amino: 19.2706
step: 900; accuracy: 0.4631; test_accuracy: 0.4668, loss: 18.9782; beta: 63.1341, amino: 18.9151
step: 920; accuracy: 0.4764; test_accuracy: 0.4866, loss: 18.6128; beta: 63.6909, amino: 18.5491
step: 940; accuracy: 0.4877; test_accuracy: 0.4699, loss: 18.0215; beta: 63.7494, amino: 17.9577
step: 960; accuracy: 0.4843; test_accuracy: 0.4830, loss: 18.0407; beta: 63.2410, amino: 17.9775
step: 980; accuracy: 0.4720; test_accuracy: 0.4925, loss: 18.5837; beta: 62.5365, amino: 18.5212
step: 1000; accuracy: 0.4795; test_accuracy: 0.4976, loss: 18.1910; beta: 61.9547, amino: 18.1290
step: 1020; accuracy: 0.4953; test_accuracy: 0.4872, loss: 17.6734; beta: 62.6604, amino: 17.6108
step: 1040; accuracy: 0.4815; test_accuracy: 0.4873, loss: 18.2168; beta: 62.3952, amino: 18.1544
step: 1060; accuracy: 0.4724; test_accuracy: 0.5005, loss: 18.7386; beta: 62.4190, amino: 18.6762
step: 1080; accuracy: 0.4805; test_accuracy: 0.4877, loss: 18.2763; beta: 61.6441, amino: 18.2146
step: 1100; accuracy: 0.4779; test_accuracy: 0.5015, loss: 18.3106; beta: 62.5252, amino: 18.2481
step: 1120; accuracy: 0.4867; test_accuracy: 0.4903, loss: 18.1412; beta: 62.1507, amino: 18.0791
step: 1140; accuracy: 0.4870; test_accuracy: 0.4912, loss: 17.9308; beta: 62.2651, amino: 17.8685
step: 1160; accuracy: 0.4801; test_accuracy: 0.4961, loss: 18.0891; beta: 62.0289, amino: 18.0271
step: 1180; accuracy: 0.4962; test_accuracy: 0.5145, loss: 17.4014; beta: 61.6505, amino: 17.3398
step: 1200; accuracy: 0.5090; test_accuracy: 0.5226, loss: 17.0510; beta: 62.2785, amino: 16.9887
step: 1220; accuracy: 0.5011; test_accuracy: 0.5039, loss: 17.5228; beta: 61.7356, amino: 17.4610
step: 1240; accuracy: 0.4978; test_accuracy: 0.4729, loss: 17.4330; beta: 62.0717, amino: 17.3710
step: 1260; accuracy: 0.5000; test_accuracy: 0.4890, loss: 17.3338; beta: 61.6895, amino: 17.2721
step: 1280; accuracy: 0.4908; test_accuracy: 0.5002, loss: 18.0087; beta: 61.7175, amino: 17.9470
step: 1300; accuracy: 0.4983; test_accuracy: 0.5010, loss: 17.6403; beta: 62.1967, amino: 17.5781
step: 1320; accuracy: 0.4952; test_accuracy: 0.5034, loss: 17.8906; beta: 62.4148, amino: 17.8282
step: 1340; accuracy: 0.5031; test_accuracy: 0.5253, loss: 17.3737; beta: 62.6161, amino: 17.3111
step: 1360; accuracy: 0.5074; test_accuracy: 0.4956, loss: 17.1025; beta: 63.0629, amino: 17.0394
step: 1380; accuracy: 0.5015; test_accuracy: 0.4943, loss: 17.4226; beta: 62.2029, amino: 17.3604
step: 1400; accuracy: 0.5041; test_accuracy: 0.4941, loss: 17.1996; beta: 61.6045, amino: 17.1380
step: 1420; accuracy: 0.5088; test_accuracy: 0.5253, loss: 16.9728; beta: 61.4289, amino: 16.9113
step: 1440; accuracy: 0.5175; test_accuracy: 0.5003, loss: 16.6153; beta: 60.9259, amino: 16.5543
step: 1460; accuracy: 0.5087; test_accuracy: 0.5209, loss: 17.0773; beta: 60.5357, amino: 17.0167
step: 1480; accuracy: 0.5055; test_accuracy: 0.5168, loss: 17.2167; beta: 60.4918, amino: 17.1562
step: 1500; accuracy: 0.5066; test_accuracy: 0.4943, loss: 17.3912; beta: 60.8363, amino: 17.3304
step: 1520; accuracy: 0.5004; test_accuracy: 0.5311, loss: 17.4273; beta: 60.3804, amino: 17.3669
step: 1540; accuracy: 0.5175; test_accuracy: 0.4851, loss: 16.7435; beta: 60.8185, amino: 16.6827
step: 1560; accuracy: 0.5092; test_accuracy: 0.4739, loss: 16.9946; beta: 61.5099, amino: 16.9331
